text,label
Hey Guys this is Glamour Beauty! I just started my youtube channel please  go check it out! I'm going to post singing videos and also random videos  that I fell like! Please go to subscribe! More to come soon!. Remember to  subscribe!﻿,1
Plz help me getting 1.000 Subscribers tonight/today.  Thanks to all who sub me :)﻿,1
 Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,1
Check out this video on YouTube:﻿,1
https://www.facebook.com/tofikmiedzynB/photos/a.1496273723978022.1073741828.1496241863981208/1498561870415874/?type=1&amp;theater ﻿,1
https://www.tsu.co/Aseris get money here !﻿,1
Oppa! Yeah! Best Song!﻿,0
*KATY YOU ARE A SHIT GO DIE!!!!!ROAR IS A FLOOOOOOOOOOOOOOOOOOOOP*﻿,0
http://hackfbaccountlive.com/?ref=5242575﻿,1
Check out this video on YouTube:﻿,1
"i think they were drunk when they shot the first half of the video and then the sec on half comes in, and her boobs are magically bigger and  she's more beautiful suddenly, and the dude practically vanishes ﻿",0
Remeber the good ol&#39; days when songs weren&#39;t about butts.  ﻿,0
"""eye of the tiger"" ""i am the champion"" seems like katy perry is using  titles of old rock songs for lyrics..﻿",0
https://viralangels.com/user/d4aaacwk﻿,1
"Hello! I'm Marian, I'm a singer from Venezuela! I was part of a boy-girl band named cubik, and I'm now singing on my own  'cause I wanted to play my own pop and pop-rock songs.  It would mean a lot if you could have a look at my channel to check my  music and watch my new video!! and if u like, subscribe to it! XOXO THANKS!!  PS: if you like a lot my channel, you can share it with your friends!!  Haha!! LOL MARIAN﻿",1
fucking love it omg :v﻿,0
follow me---&gt; https://twitter.com/f0llowshoutouts ﻿,1
"NEW GOAL!   3,000,000!  Let's go for it!﻿",0
"I really don't understand how this has 600 million views lol. I'm not  hating or anything, it's just confusing. ﻿",0
On 0:02 u can see the camera man on his glasses....﻿,0
I LOVE YOUR SONGS﻿,0
"I just realized that this verses in this song have the exact same melody as  the verses in ""Hey Ho"" by the Lumineers.﻿",0
why the elephant have a broken horn﻿,0
"Like getting Gift cards..but hate spending the cash.... Try Juno Wallet !!! At Juno Wallet you can earn money for gift cards such as ; Nike, Gamestop,  Amazon , Ebay Etc &amp; its easy  Earn money by doing simple task like watching videos..downloading apps &amp;  you can even earn money by inviting your friends to join...its free for  signup Sign up today &amp; use promo code BD3721315﻿",1
If you looking for new music to listen to check out cece song called  dead2me on iTunes music video out now right here on youtube.﻿,1
Check out this playlist on YouTube:﻿,1
Hey guys! Im a 12 yr old music producer. I make chiptunes and 8bit music.  It would be wonderful if you checked out some of my 8bit remixes! I even  have a gangnamstyle 8bit remix if you would like to check that out ;)  Thanks!!,1
"Hello! I'm kind of new to Youtube, And soon i'm soon going to be making  Launchpad Video's! :D I would really appreciate if i got some subs before i  started so that people can spot me easily! I dont really care about hate  comments so dont bother -_-﻿",1
Ching Ching ling long ding ring yaaaaaa Ganga sty FUCK YOU.﻿,0
Ahhh back when my life didn&#39;t suck...﻿,0
http://minhateca.com.br/mauro-sp2013/Filmes+Series+Desenhos+Animes+Mp3+etc﻿,1
subscribe to me :) ﻿,1
P E A C E  &amp;  L O V E  ! !﻿,0
2 billion views wow not even baby by justin beibs has that much he doesn't  deserve a capitalized name﻿,0
Best song for ever💜💜😢<br />﻿,0
https://www.facebook.com/FUDAIRYQUEEN?pnref=story﻿,1
If only I had the body like Katy Perry :)). She looks so hot. I love her  ^^!﻿,0
"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿",0
http://www.ermail.pl/dolacz/V3VeYGIN CLICK  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN﻿,1
"Look at the pictures, if not difficult http://image2you.ru/48051/1340524/        http://image2you.ru/48051/1340523/          http://image2you.ru/48051/1340522/ http://image2you.ru/48051/1340521/             http://image2you.ru/48051/1340520/       http://image2you.ru/48051/1340519/  http://image2you.ru/48051/1340518/            http://image2you.ru/48051/1340517/          http://image2you.ru/48051/1340504/ http://image2you.ru/48051/1340503/              http://image2you.ru/48051/1340502/            http://image2you.ru/48051/1340500/ http://image2you.ru/48051/1340499/        http://image2you.ru/48051/1340494/             http://image2you.ru/48051/1340493/ http://image2you.ru/48051/1340492/        http://image2you.ru/48051/1340491/           http://image2you.ru/48051/1340490/ http://image2you.ru/48051/1340489/             http://image2you.ru/48051/1340488/﻿",1
Check out my drum cover of E.T. here! thanks -&gt;   /watch?v=NO9pOVZ9OIQ&amp;list=UUltuCDIHsDeI01by1OW7WuQ﻿,1
Why sooooo many downs?﻿,0
Awsome<br />﻿,0
Check out this video on YouTube:﻿,1
if i reach 100 subscribers i will go round in public pouring a bucket of  ice water over people and then running away acting like it wasn't me! like  so people can see!!﻿,1
Click For iTunes code http://shhort.com/a?r=0LaviqU2b﻿,1
Plz subscribe to my channel and I will subscribe back xx﻿,1
http://thepiratebay.se/torrent/10626835/The.Expendables.3.2014.DVDSCR.Xvid-DiNGO ﻿,1
great song you go katy!﻿,0
Subscribe to me plz plz plz plz plz plZ ﻿,1
Check out this video on YouTube:﻿,1
epic﻿,0
Subscribe to me if u think &quot;swag&quot; is fucking stupid﻿,1
Check out this video on YouTube:﻿,1
"Hey guys! I've made a amazing Smiley T-Shirt.Of all the things you wear,  your expression is the most important and remember all the statistics in  the world can’t measure the warmth of a smile. If you're a big fan of  T-Shirts and want to gets more happiness, it's perfect for you.  Check this  out and buy it at www.teespring.com/smiley12 =)) thanks you guys so  much!!! ﻿",1
Party in da 🏠 tonight 👐👐👐👐👐👐﻿,0
Hiya😊 I just started YouTube and it would mean a lot if some of you could  subscribe and watch my first video?xx﻿,1
Lol check out my chanell and subscribe please i want 5000 subs thats it im nearly their now﻿,1
please like : http://www.bubblews.com/news/9277547-peace-and-brotherhood﻿,1
"WHATS UP EVERYONE!? :-) I Trying To Showcase My Talent To The World! I Have Over 3000 SUBSCRIBERS! I PROMISE! I Dont Suck! Please Spread My Covers Around, SUBSCRIBE &amp; Share! Thanks so much for all your support! Lucas Trigo -Stay Awesome! ﻿",1
Check out this video on YouTube:﻿,1
Abomination! Subscribe if you agree :| party here in my channel. cool lights.﻿,1
Check out this video on YouTube:﻿,1
Plizz withing my channel ﻿,1
Please Subscribe In My Channel →﻿,1
"Huh, anyway check out this you[tube] channel: kobyoshi02",1
I'm only checking the views﻿,0
 Facebook account HACK!! http://hackfbaccountlive.com/?ref=4477063﻿,1
I love this song so much﻿,0
Love it﻿,0
Wow I love it ﻿,0
this has so many views﻿,0
Take a look at this video on YouTub<br />You﻿,1
This comment will randomly get lot's of likes and replies for no reason. I  also like Jello. Strawberry jello.﻿,0
Check out this video on YouTube:﻿,1
this song gives me strength! love her lyrics. this video really brings the  lyrics to life. I'm getting known fast because i rap with meaning.. thumbs  up if you piss next to the water in the toilet so its quiet...﻿,1
Have you tried a new social network TSU? This new social network has a  special thing.You can share the posts as well as on fb and twitter and even  to'll get paid You can registr here:  https://www.tsu.co/WORLDWIDE_LIFE﻿,1
00 : 39 Im pretty sure that tiger just wanted a hug﻿,0
"when i see this back in 2015 i ask myself how people got to like this song. seems like Gangnam style copied this style though, might just be me but yea﻿",0
The new Makeup Transformation with Integrated Look-A-Like Feature now  available in Ver 1.13! Do you know who you look like? Install or update  your version of Makeup Transformation  https://play.google.com/store/apps/details?id=com.yourelink.makeuptransformation  or visit Google Play.﻿,1
http://www.ebay.com/itm/171183229277?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,1
Can you check my videos please? Don't hate me :( Give me one oportunity﻿,1
Check out this video on YouTube:﻿,1
This video is so racist!!! There are only animals.﻿,0
I think this is now a place to promote channels in the comment section lol.﻿,0
"Support the fight for your 4th amendment right to privacy in your home and business. Stop the NSA spying on Americans with the un Patriot Act Renewal. Rand Paul has spent 10.5 hours on the Senate floor in a Protest and Filibuster fighting for our  Constitution that this Nation is founded on. Join the fight at Rand Paul dot com. Spread The Word. We Have Someone That Cares About Our Nation.  Email your Senators, Congress men and women, tell them to support Rand. Tell the news to support Rand too. Senator Rand Paul was up until <a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=1m00s"">1:00</a> am this morning fighting for our Constitution.﻿",1
I like This Comment and do not kill :P﻿,1
Love this soooooooooooooooooooooooooooooooooooooooooooooooooo much﻿,0
2 billion....Coming soon﻿,0
please suscribe i am bored of 5 subscribers try to get it to 20!﻿,1
WELL THIS DUDES FADED THE FUCK OUT!﻿,0
This is the best of the best video in world!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,0
Awesum song!! Jus luv it!﻿,0
Come subscribe﻿,1
"Dear person reading this, You are beautiful and loving Have a great day﻿",0
Hey guys subscribe to my chanel and i will subscribe back and like all your vids :)<br /><br />﻿,1
Party rock﻿,0
The best Song i saw ❤️❤️❤️❤️❤️❤️❤️❤️😍😍😍😍😍😍😍😘😘😘😘😘😘😘😘﻿,0
Limit sun exposure while driving. Eliminate the hassle of having to swing  the car visor between the windshield and window.  https://www.kickstarter.com/projects/733634264/visortwin﻿,1
It is 0 zero﻿,0
"Why the fuck this keeps updated? Comments :""5 minutes ago"" Song: ""2 years and  4 months ago""﻿",0
" Something to dance to, even if your sad JUST dance!!   PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿",0
Hey guys. I am a very small YouTuber I upload videos nearly every single  day. I once hope to be like shikas so can you please give 2 mins of your  life to view this channel. and my new video is on how to watch all the  anime for free. and I am pretty sure you wont regret visiting this channel. Thank you!﻿,1
Check me out! I'm kyle. I rap so yeah ﻿,1
i check back often to help reach 2x10^9 views and I avoid watching Baby﻿,0
Check out this video on YouTube:﻿,1
"YouTube collaborator&#39;s anyone? subscribe to me, I&#39;ll subscribe back. I also will start uploading more YouTube videos.  <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23LMFAO"">#LMFAO</a>﻿",1
Maybe the best music video in the last 15 years? This is how pop music is  done folks!﻿,0
"It's so hard, sad :( iThat little child Actor HWANG MINOO dancing very  active child is suffering from brain tumor, only 6 month left for him .Hard  to believe .. Keep praying everyone for our future superstar.  #StrongLittlePsY #Fighting  SHARE EVERYONE PRAYING FOR HIM http://ygunited.com/2014/11/08/little-psy-from-the-has-brain-tumor-6-months-left-to-live/ ﻿",1
"Stop,is a very TOP 1﻿",0
why tiger succumbs to a beautiful girl ?.probably male tiger.....????   ha.ha.ha..﻿,0
http://www.wattpad.com/story/26032883-she-can-love-you-good﻿,1
this song is awesome. these guys are the best. love this video too its hilarious lol. im getting popular fast because i rap with meaning. thumbs up if you piss next to the water in the toilet so it doesnt make noise﻿,1
old and good song﻿,0
Check out this video on YouTube: ﻿,1
"This song is the most boring, asinine song I have ever heard. Coming from a  guy who liked ""Teenage Dream"" (the song). Ever since Katy Perry's divorce  it's wave after wave of shitty but successful songs... For those of you  saying ""This is the next wave of pop music"". Stick it up your ass. Katy  Perry is like Silly Putty. ﻿",0
LMFAO best songs ever!﻿,0
--&gt;ATTENTION KATYCATS! Katy leads with 7 noms at this year MTV EMA! do vote daily for her: tv.  mtvema. com/vote (delete spaces) thumbs up and share on fb﻿,1
Katy has a voice of an Angel﻿,0
"Almost 1 Bil. What? Wow, GS sucks, in my opinion.﻿",0
It looks so real and my daughter is a big fan and she likes a lot of your  songs.﻿,0
check out mah girl it duh shit yo﻿,1
everyone please come check our newest song in memories of Martin Luther  King Jr.﻿,1
I WILL FINISH THIS DISSERTATION! And I will laugh in its face when I  finish! Roaaarrr =3﻿,0
Check out this playlist on YouTube:hbbhhhgh﻿,1
" Hey everyone!! I have just started my first YT channel i would be grateful  if some of you peoples could check out my first clip in BF4! and give me  some advice on how my video was and how i could improve it. ALSO be sure to  go check out the about to see what Im all about. Thanks for your time :) .  and to haters... You Hate, I WIN﻿",1
"A  friend of mine has invented a big dick formula. He had a small dick (4  inches) and he did some research about this topic. During the research, he  found out the secret knowledge of penis enlargement. He applied what he  had learned and now he has a 7 inch dick. He was absolutely amazed by his  results. Of course, it took a few months. Therefore, he has written a book  about this issue in order to help guys. He asked me to promote his book :)  So, guys if you are interested and for more info check this out  https://payhip.com/b/oTIb  . He is selling it for symbolic £1. Thank you ;)﻿",1
"The funny thing is, 1,700,000,000 of the views are spam bots. I mean c'mon  2 BILLION views? BS!﻿",0
https://www.facebook.com/profile.php?id=100007085325116﻿,1
How can this music video get 2 billion views while im the only one watching  here on earth?????? lol﻿,0
The Funny Thing Is That this song was made in 2009 but it took 2 years to  get to america.﻿,0
"<a href=""http://www.gofundme.com/Helpmypitbull"">http://www.gofundme.com/Helpmypitbull</a> Can you please donate to help my pitbull PLEASE!!! I just need 50 dollars to take it to the vet!!!﻿",1
Check out this video on YouTube:﻿,1
"<a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=2m19s"">2:19</a> best part﻿",0
Check out this video on YouTube:﻿,1
My three bigger secrets are: I don't think I'm good enough for me skinny  size. I'm bisexual and I sweat really freaking bad when I'm nervous. -  check out Secret by Austin Mahone's NEW Single!﻿,1
SERIOUSLY HOW DID THEY COME UP WITH THAT BEAT IT IS INSANELY GOOD HOLY FUCK﻿,0
5 milions comentars and 2 bilion views﻿,0
"Hey I&#39;m a British youtuber!!<br />I upload Weekly!! <br />It would mean the world if you could subscribe!!<br />Thanks,Joyce!!<br />﻿",1
"People, here is a new network like FB...you register also free, the  difference is only that you get paid for sharing, commenting and liking  posts and so one...don't waste your time on fb for sharing and not being  paid!! Register here to make also money with your everyday posts!!  https://www.tsu.co/slema13 Wellcome to everyone! ;)﻿",1
Please subscribe to us and thank you﻿,1
http://binbox.io/1FIRo#123﻿,1
http://www.bubblews.com/news/6401116-vps-solutions﻿,1
"People, here is a new network like FB...you register also free, the  difference is only that you get paid for sharing, commenting and liking  posts and so one...don't waste your time on fb for sharing and not being  paid!! Register here to make also money with your everyday posts!!  https://www.tsu.co/slema13 Wellcome to everyone! ;)﻿",1
Subscribe to My CHANNEL﻿,1
wierd but funny﻿,0
katy is beautiful. and this song is catchy. I'm a rapper with 25000  subscribers.. thumbs up if you hate when you take a shit and the water  splashes your balls﻿,1
"Almost 1 billion views, nice.﻿",0
She's awesome XD﻿,0
3:46 so cute!﻿,0
"Haha its so funny to see the salt of westerners that top views of youtube  goes to video they dont even understand, keep the salt up!﻿",0
Like this comment if you still jam out to this song after 4 years ﻿,1
Loool nice song funny how no one understands (me) and we love it﻿,0
CHECK MY CHANNEL OUT PLEASE. I DO SINGING COVERS﻿,1
It's so funny it's awesomeness lol aaaaaaa sexy lada😂﻿,0
🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨<br />NOW THAT I HAVE YOUR ATTENTION!!! 🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨SUBSCRIBE TO MY CHANNEL!!!<br />🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨<br />GRACIAS!💋<br />🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨﻿,1
I like you . Katy Perry 600▲60▲6▲﻿,0
Thank you KatyPerryVevo for your instagram likes @axeljonssons﻿,1
https://www.reverbnation.com/slicknick313/songs﻿,1
Why did they stop their career in music? This music rocks !﻿,0
Good video﻿,0
"OH SHIT THIS WAS UPLOADED ON MY BIRTHDAY, finally my birthday isnt a curse, because on this day maylaysia airlines went missing, so i thought my birthday was a curse xD﻿",0
https://soundcloud.com/j-supt-fils-du-son/fucking-hostile﻿,1
I am now going to voyage to the first comment...      Tell my family I loved them. 😢﻿,0
Like this comment for no reason﻿,1
Check out this video on YouTube:﻿,1
SUBSCRIBE TO ME AND I'LL SUBSCRIBE TO YOU! (Must like - cZFcxsn0jnQ) ﻿,1
"How did THIS Video in all of YouTube get this many views and likes? Why  Gangnam style? I don't have a problem with it, i just don't understand the  phenomena behind it, it's just like any other random music video out  there. ﻿",0
Great video by a great artist in Katy Perry! Admire her creativity! Check  out our channel for no nonsense mobile tech reviews and comparisons as well  as an iPhone 6 and 6 Plus review and comparison!﻿,1
http://shhort.com/a?r=HuPwEH5ab﻿,1
SUPER!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,0
so cute that monkey *-*! ﻿,0
YouTube/codytolleson for awesome videos I'll subscribe back ﻿,1
i think about 100 millions of the views come from people who only wanted to  check the views﻿,0
https://www.indiegogo.com/projects/help-stop-my-poverty-cyber-pan-handleing/x/8692160#home ﻿,1
i like this song because of all the animals and i like this song .﻿,0
"see it all, human folly right?﻿",0
why are they 5million comments when there is only 279.898 youtube Users.   5million fake account or PSY hacked youtube﻿,0
"To everyone joking about how he hacked to get 2 billion views because  there's a certain amount of people or whatever,  He actually did buy views.﻿",0
Imagine this in the news crazy woman found acting like a tiger and bit jims  ear off﻿,0
We pray for you Little Psy ♡﻿,0
i love this so much. AND also I Generate Free Leads on Auto Pilot &amp; You Can  Too! http://www.MyLeaderGate.com/moretraffic﻿,1
"C'mon Katy you are so close to 14,000,000 subscribers...come up with  another hit like this and it will happen﻿",0
Strong messages in every  song I&#39;ve  heard.﻿,0
And i´m Shufflin still today :D﻿,0
Check out this playlist on YouTube:﻿,1
"Hey guys can you check my YouTube channel I know you hate comments like  this one but I promise if you check my videos it will be entertaining I do  Shotgun Montages,Ninja Defuse Montages and Trolling please guys can you  check them out and thanks have a good day!!!!!!!﻿",1
http://www.twitch.tv/tareko100 Follow him on twitch and enter the keyword  !5800 and you'll have a chance of winning a really nice and expensive gun  for csgo that you can sell on the steam market﻿,1
tension⤴︎⤴︎﻿,0
In my head this is like 2 years ago.. Time FLIES﻿,0
I LOVE YOU KATTY PERRY &lt;3 ﻿,0
https://www.facebook.com/nicushorbboy add mee &lt;3 &lt;3﻿,1
https://soundcloud.com/jackal-and-james/wrap-up-the-night﻿,1
If interested in making extra money by internet use the next link www.swagbucks.com/refer/Nonturtle02﻿,1
"Check out Melbourne shuffle, everybody!﻿",1
http://thepiratebay.se/torrent/10626048/The.Expendables.3.2014.DVDScr.LEAKED.CLEAN.XviD.MP3-RARBG ﻿,1
I    loved        it           so       much          because         you          get         to         stand            fear .﻿,0
"KATY PERRY, I AM THE ""DÉCIO CABELO"", ""DECIO HAIR"". I AM 60 YEARS OF AGE. I  DON""T HAVE FAMILY. I""M SINGLE. ALONE. HOMELESS. I WAS AN ALCOHOLIC: 15 AT  THE AGE OF 46. I AM AN INVISIBLE COMPOSER. MY DREAM IS TO RECORD MY SONGS.  COULD YOU HELP ME? PLEASE! PLEASE! I TRUST THAT THE YOU WILL GIVE ME A  CHANCE. I HAVE 109 VIDEOS IN THE YOUTUBE: deciocabelo canal. KATY PERRY, I  WAS BORN IN OCTOBER 25, TOO. THANK YOU VERY MUCH!!! DECIO HAIR.﻿",1
Do not like this comment if you are not watching in 2004﻿,1
"I loved, she is amazing.. OMG your eyes*_*﻿",0
Please subscribe to my channel!Thanks!﻿,1
cool cool cool cool cool cool cool﻿,0
Man she is BEAUTIFUL!﻿,0
That shake and that golden and black robot were really partying ﻿,0
I don't now why I'm watching this in 2014﻿,0
"SIMPLY PUT, OUR CUSTOMERS LOVE US... and so will you!https://www.facebook.com/greenleader﻿",1
sub my channel for no reason -_-﻿,1
Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8﻿,0
"Hey guys! Please join me in my fight to help abused/mistreated animals! All  fund will go to helping pay for vet bills/and or helping them find homes! I  will place an extra emphasis on helping disabled animals, ones otherwise  would just be put to sleep by other animal organizations. Donate please. http://www.gofundme.com/Angels-n-Wingz﻿",1
"So,cool！！﻿",0
 I hate this song! ﻿,0
Y LOVE YOU﻿,0
Check out this video on YouTube:﻿,1
"Search ""Chubbz Dinero - Ready Or Not "" Thanks ﻿",1
http://www.twitch.tv/daconnormc﻿,1
I like how the robot shuffles he shuffles good﻿,0
Roar is without a doubt your best song...feel good song with a message for  everyone. Good job Katy﻿,0
Check out this video on YouTube:﻿,1
Check out my YouTube channel I can rap﻿,1
"Subscribe pleaaaase to my instagram account , i'll subscribe back ♥  http://instagram.com/cyrine_ghorbel﻿",1
I love roar and Katy Perry. She is my favorite singer and sometimes I just  mute the volume and look at her!﻿,0
most popular video on youtube  ﻿,0
Looooooooove this song!!!!!!!!!:))))))﻿,0
me segue ha  https://www.facebook.com/marcos.sousa4?fref=ts﻿,1
Anyone else think this video theme is a bit of an insult to 28 days later? ﻿,0
Katty perry please say in one of your new videoes that they follow the  Girls Girls please﻿,1
Visit my channel﻿,1
why I dont see any comments but mine?:/﻿,0
